City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Red Deer,CA,2021-12-06 21:40:54,52.2668,-113.802,16.29,67,1,5.75
138,Port Elizabeth,ZA,2021-12-06 21:42:19,-33.918,25.5701,63.1,94,40,6.91
139,Pinega,RU,2021-12-06 21:42:37,64.7001,43.3936,13.48,92,79,8.37
140,Namibe,AO,2021-12-06 21:42:37,-15.1961,12.1522,72.28,65,0,5.08
141,Podor,MR,2021-12-06 21:42:37,16.6527,-14.9587,80.55,19,0,4.61
142,Havoysund,NO,2021-12-06 21:42:37,70.9963,24.6622,25.03,76,98,10.4
143,Ozernovskiy,RU,2021-12-06 21:42:38,51.5,156.5167,37.36,93,100,26.6
144,Ponazyrevo,RU,2021-12-06 21:42:38,58.3578,46.3142,-2.11,92,31,3.42
145,Desaguadero,PE,2021-12-06 21:42:38,-16.5656,-69.0417,52.66,62,100,14.34
146,Roscommon,IE,2021-12-06 21:42:39,53.6333,-8.1833,34.65,81,42,6.8
147,Alexandria,EG,2021-12-06 21:42:39,31.2156,29.9553,60.76,82,20,3.44
148,Bugiri,UG,2021-12-06 21:42:39,0.5714,33.7417,67.1,79,67,3.11
149,Klaksvik,FO,2021-12-06 21:42:40,62.2266,-6.589,41.92,70,82,32.17
150,Ukiah,US,2021-12-06 21:40:02,39.1502,-123.2078,59.38,83,75,0.0
151,Bariri,BR,2021-12-06 21:42:40,-22.0744,-48.7403,86.25,74,65,3.94
152,Yumen,CN,2021-12-06 21:42:40,40.2833,97.2,24.67,52,100,6.73
153,Acapulco,MX,2021-12-06 21:40:53,16.8634,-99.8901,87.62,70,1,4.61
154,Santa Teresa,VE,2021-12-06 21:42:41,10.2341,-66.6631,85.12,73,68,5.14
155,Asau,RO,2021-12-06 21:42:41,46.4333,26.4,33.96,87,61,3.89
156,Arraial Do Cabo,BR,2021-12-06 21:38:49,-22.9661,-42.0278,76.86,78,75,12.66
157,Waipawa,NZ,2021-12-06 21:42:41,-41.4122,175.5153,55.45,94,100,3.94
158,Lapeer,US,2021-12-06 21:41:55,43.0514,-83.3188,33.35,69,90,17.27
159,Rawson,AR,2021-12-06 21:42:42,-43.3002,-65.1023,85.51,25,1,23.47
160,Moose Factory,CA,2021-12-06 21:37:43,51.2585,-80.6094,17.6,86,90,6.91
161,Sao Filipe,CV,2021-12-06 21:42:42,14.8961,-24.4956,77.74,69,23,6.15
162,Santa Rosa,PH,2021-12-06 21:42:42,14.3122,121.1114,75.11,87,26,4.72
163,Lata,PT,2021-12-06 21:42:42,40.1629,-8.3327,57.04,95,100,2.13
164,Qasigiannguit,GL,2021-12-06 21:42:43,68.8193,-51.1922,19.65,83,85,4.56
165,Taoudenni,ML,2021-12-06 21:42:43,22.6783,-3.9836,65.19,17,94,12.71
166,Anchorage,US,2021-12-06 21:41:35,61.2181,-149.9003,39.2,80,90,5.99
167,Morehead,US,2021-12-06 21:39:31,37.2711,-87.1764,43.14,54,1,8.01
168,Goure,NE,2021-12-06 21:42:44,13.9835,10.2704,74.01,15,12,9.01
169,Constitucion,CL,2021-12-06 21:42:44,-35.3333,-72.4167,60.82,78,62,10.25
170,Pisco,PE,2021-12-06 21:42:44,-13.7,-76.2167,71.65,68,0,9.22
171,Lompoc,US,2021-12-06 21:42:44,34.6391,-120.4579,72.1,77,1,14.97
172,Dire Dawa,ET,2021-12-06 21:42:45,9.5931,41.8661,64.83,56,84,1.61
173,Okha,RU,2021-12-06 21:42:45,53.5739,142.9478,22.86,88,88,34.18
174,Iqaluit,CA,2021-12-06 21:38:51,63.7506,-68.5145,11.93,61,40,8.01
175,Saint-Philippe,RE,2021-12-06 21:38:57,-21.3585,55.7679,78.39,80,27,9.33
176,Tommot,RU,2021-12-06 21:42:46,58.9564,126.2925,6.13,74,100,13.22
