City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
123,Beyneu,KZ,2021-12-20 01:45:53,45.3167,55.2,31.77,91,38,1.28,scattered clouds
124,Lasa,IT,2021-12-20 01:45:53,46.6166,10.7002,38.28,54,7,7.0,clear sky
125,Ancud,CL,2021-12-20 01:45:54,-41.8697,-73.8203,62.13,93,17,2.21,few clouds
126,San Quintin,MX,2021-12-20 01:45:54,30.4833,-115.95,56.95,62,0,3.69,clear sky
127,Dikson,RU,2021-12-20 01:45:55,73.5069,80.5464,-29.7,99,88,3.44,overcast clouds
128,Nome,US,2021-12-20 01:45:55,64.5011,-165.4064,34.16,93,90,21.85,light snow
129,Gazanjyk,TM,2021-12-20 01:42:52,39.2446,55.5154,49.08,54,0,4.05,clear sky
130,Aklavik,CA,2021-12-20 01:45:55,68.2191,-135.0107,-1.37,100,99,7.52,overcast clouds
131,Klaksvik,FO,2021-12-20 01:45:56,62.2266,-6.589,40.12,82,100,11.18,overcast clouds
132,Saint Augustine,US,2021-12-20 01:45:52,29.8947,-81.3145,72.01,97,90,8.05,overcast clouds
133,East London,ZA,2021-12-20 01:45:57,-33.0153,27.9116,66.76,85,39,12.41,scattered clouds
134,Port Moresby,PG,2021-12-20 01:45:57,-9.4431,147.1797,87.22,74,40,11.5,scattered clouds
135,Otukpo,NG,2021-12-20 01:45:57,7.1913,8.1329,72.55,32,0,3.09,clear sky
136,Pochutla,MX,2021-12-20 01:44:13,15.7432,-96.4661,80.42,84,100,3.85,overcast clouds
137,Mount Gambier,AU,2021-12-20 01:45:58,-37.8333,140.7667,69.71,52,40,24.16,scattered clouds
138,Sao Jose Da Coroa Grande,BR,2021-12-20 01:45:58,-8.8978,-35.1478,79.03,79,85,9.1,overcast clouds
139,Westport,US,2021-12-20 01:45:59,41.1415,-73.3579,32.81,67,1,3.0,clear sky
140,Ilulissat,GL,2021-12-20 01:45:59,69.2167,-51.1,39.22,45,100,25.32,overcast clouds
141,Cherskiy,RU,2021-12-20 01:45:59,68.75,161.3,-23.53,97,100,21.47,light snow
142,Koslan,RU,2021-12-20 01:46:00,63.4564,48.8989,2.16,94,100,7.87,overcast clouds
143,Mahebourg,MU,2021-12-20 01:46:00,-20.4081,57.7,76.24,83,20,5.75,few clouds
144,Windhoek,NA,2021-12-20 01:41:59,-22.5594,17.0832,66.4,34,55,4.61,broken clouds
145,Vila Franca Do Campo,PT,2021-12-20 01:46:01,37.7167,-25.4333,59.41,85,99,10.74,overcast clouds
146,Seoul,KR,2021-12-20 01:43:02,37.5683,126.9778,49.44,75,0,3.44,clear sky
147,Maralal,KE,2021-12-20 01:46:01,1.0968,36.698,58.05,86,98,4.32,overcast clouds
148,Hithadhoo,MV,2021-12-20 01:46:02,-0.6,73.0833,82.53,74,100,7.83,overcast clouds
149,Shihezi,CN,2021-12-20 01:46:02,44.3,86.0333,14.85,85,95,1.59,overcast clouds
150,Saint-Pierre,RE,2021-12-20 01:46:03,-21.3393,55.4781,77.58,80,90,6.91,light rain
151,Kavieng,PG,2021-12-20 01:46:03,-2.5744,150.7967,82.71,75,98,2.48,moderate rain
152,Clarence Town,AU,2021-12-20 01:46:03,-32.5833,151.7833,92.28,36,84,3.8,broken clouds
153,Triolet,MU,2021-12-20 01:46:04,-20.0547,57.5453,76.26,82,74,5.17,broken clouds
154,Alice Springs,AU,2021-12-20 01:42:42,-23.7,133.8833,85.55,23,0,14.97,clear sky
155,Mayo,US,2021-12-20 01:46:04,38.8876,-76.5119,39.54,60,1,5.01,clear sky
156,Lusaka,ZM,2021-12-20 01:46:05,-15.4067,28.2871,63.54,96,100,8.25,overcast clouds
157,Mapimi,MX,2021-12-20 01:46:05,25.8167,-103.85,52.57,69,13,5.73,few clouds
158,Sola,VU,2021-12-20 01:46:05,-13.8833,167.55,82.0,73,85,6.13,overcast clouds
159,Chandler,US,2021-12-20 01:41:49,33.3062,-111.8412,63.18,37,1,0.0,clear sky
160,Landerneau,FR,2021-12-20 01:46:06,48.4525,-4.2525,45.36,96,75,8.05,broken clouds
161,Castro,BR,2021-12-20 01:46:06,-24.7911,-50.0119,56.14,87,0,7.72,clear sky
162,Chulman,RU,2021-12-20 01:46:07,56.8479,124.9104,-28.3,97,100,7.34,overcast clouds
163,Iqaluit,CA,2021-12-20 01:42:09,63.7506,-68.5145,-2.31,70,75,8.99,broken clouds
164,Tawau,MY,2021-12-20 01:46:07,4.2498,117.8871,84.33,74,100,5.99,overcast clouds
165,Constitucion,CL,2021-12-20 01:42:36,-35.3333,-72.4167,57.72,82,50,12.08,scattered clouds
166,Sitka,US,2021-12-20 01:46:07,57.0531,-135.33,30.09,69,1,5.75,clear sky
167,Lebanon,US,2021-12-20 01:45:09,36.2081,-86.2911,38.59,82,75,4.61,broken clouds
168,Buarcos,PT,2021-12-20 01:46:08,40.166,-8.8768,60.82,66,100,19.15,overcast clouds
169,Amapa,BR,2021-12-20 01:46:08,1.0,-52.0,73.27,94,100,2.64,overcast clouds
170,Promyshlennaya,RU,2021-12-20 01:46:09,54.9159,85.6385,14.95,96,100,5.55,light snow
171,Kamaishi,JP,2021-12-20 01:46:09,39.2667,141.8833,29.35,51,31,12.8,scattered clouds
172,Vostok,RU,2021-12-20 01:46:09,46.4856,135.8833,7.16,87,99,3.31,overcast clouds
173,Poum,NC,2021-12-20 01:46:10,-20.2333,164.0167,80.4,72,2,0.92,clear sky
174,Tecoanapa,MX,2021-12-20 01:46:10,16.5167,-98.75,79.43,77,89,7.14,overcast clouds
175,Codrington,AU,2021-12-20 01:46:10,-38.2667,141.9667,73.6,43,40,22.06,scattered clouds
176,Bajil,YE,2021-12-20 01:46:11,15.0584,43.2851,74.23,75,46,2.68,scattered clouds
177,Tuatapere,NZ,2021-12-20 01:46:11,-46.1333,167.6833,62.01,91,99,13.0,moderate rain
178,Aku,NG,2021-12-20 01:46:11,6.7081,7.3167,73.65,31,0,4.32,clear sky
179,Pokaran,IN,2021-12-20 01:46:12,26.9167,71.9167,54.66,12,0,4.88,clear sky
180,Huarmey,PE,2021-12-20 01:46:12,-10.0681,-78.1522,67.77,84,56,6.35,broken clouds
181,Hambantota,LK,2021-12-20 01:46:13,6.1241,81.1185,73.74,100,49,3.44,scattered clouds
182,Atuona,PF,2021-12-20 01:46:13,-9.8,-139.0333,78.17,72,6,12.3,clear sky
183,Millinocket,US,2021-12-20 01:46:13,45.6573,-68.7098,21.42,73,90,8.05,overcast clouds
184,Matara,LK,2021-12-20 01:42:50,5.9485,80.5353,76.19,88,30,4.16,scattered clouds
185,Namatanai,PG,2021-12-20 01:46:14,-3.6667,152.4333,79.3,85,100,4.25,light rain
186,Khandyga,RU,2021-12-20 01:46:14,62.6667,135.6,-34.01,92,100,2.44,overcast clouds
187,Tevaitoa,PF,2021-12-20 01:46:15,-16.7833,-151.5,79.86,76,21,10.85,light rain
188,Misratah,LY,2021-12-20 01:46:15,32.3754,15.0925,54.9,65,66,13.82,broken clouds
189,Marsh Harbour,BS,2021-12-20 01:46:16,26.5412,-77.0636,77.07,82,0,11.88,clear sky
190,Lavrentiya,RU,2021-12-20 01:46:16,65.5833,-171.0,33.82,98,100,18.39,light rain
191,Binzhou,CN,2021-12-20 01:46:16,37.3667,118.0167,42.67,44,1,10.36,clear sky
192,Ballina,AU,2021-12-20 01:46:17,-28.8667,153.5667,89.78,57,89,5.75,overcast clouds
193,Sevierville,US,2021-12-20 01:45:13,35.8681,-83.5618,43.11,76,90,9.22,overcast clouds
194,San Bartolome De Tirajana,ES,2021-12-20 01:46:17,27.9248,-15.5733,55.31,85,20,9.22,few clouds
195,Nemuro,JP,2021-12-20 01:46:17,43.3236,145.575,27.03,46,11,8.97,few clouds
196,Astoria,US,2021-12-20 01:45:02,46.1879,-123.8313,41.86,93,1,7.0,clear sky
197,Qaanaaq,GL,2021-12-20 01:46:18,77.484,-69.3632,20.64,71,100,9.82,overcast clouds
198,Troitskoye,RU,2021-12-20 01:46:18,52.9821,84.6757,30.56,98,100,11.25,snow
199,Naze,JP,2021-12-20 01:46:19,28.3667,129.4833,61.72,48,41,3.44,scattered clouds
200,Eirunepe,BR,2021-12-20 01:46:10,-6.6603,-69.8736,75.36,98,100,2.68,overcast clouds
201,Biak,ID,2021-12-20 01:46:19,-0.9131,122.8766,84.11,67,94,0.76,overcast clouds
202,Bilibino,RU,2021-12-20 01:46:19,68.0546,166.4372,-25.98,100,100,7.09,light snow
203,Tshikapa,CD,2021-12-20 01:46:20,-6.4167,20.8,70.63,97,100,0.81,overcast clouds
204,Pilar Do Sul,BR,2021-12-20 01:46:20,-23.8131,-47.7164,59.13,92,23,7.96,few clouds
205,Salalah,OM,2021-12-20 01:46:20,17.0151,54.0924,71.69,73,0,6.91,clear sky
206,Sunderland,GB,2021-12-20 01:41:49,54.9047,-1.3822,43.0,96,100,5.82,overcast clouds
207,Bara,NG,2021-12-20 01:46:21,10.3744,10.7288,62.37,29,2,8.21,clear sky
208,Pevek,RU,2021-12-20 01:46:21,69.7008,170.3133,-12.23,96,100,21.83,light snow
209,Salo,IT,2021-12-20 01:46:21,45.6086,10.531,43.99,50,1,6.55,clear sky
210,Richmond,US,2021-12-20 01:43:16,37.5538,-77.4603,38.66,68,40,1.99,scattered clouds
211,Airai,TL,2021-12-20 01:46:22,-8.9266,125.4092,72.19,71,100,0.58,overcast clouds
212,Camana,PE,2021-12-20 01:46:22,-16.6228,-72.7111,67.73,87,93,6.2,overcast clouds
213,Berlevag,NO,2021-12-20 01:46:23,70.8578,29.0864,28.89,62,100,19.98,light snow
214,New Norfolk,AU,2021-12-20 01:46:23,-42.7826,147.0587,67.5,79,100,16.13,overcast clouds
215,Victoria,HK,2021-12-20 01:45:57,22.2855,114.1577,64.38,79,100,1.01,light rain
216,Sault Sainte Marie,CA,2021-12-20 01:44:13,46.5168,-84.3333,28.89,69,90,6.91,overcast clouds
217,San Cristobal,VE,2021-12-20 01:46:24,7.7669,-72.225,69.98,92,80,1.86,broken clouds
218,Mount Hagen,PG,2021-12-20 01:46:24,-5.8581,144.2274,70.56,64,40,11.5,haze
219,Chokurdakh,RU,2021-12-20 01:46:24,70.6333,147.9167,-2.81,97,100,14.25,light snow
220,Xining,CN,2021-12-20 01:46:25,36.6167,101.7667,23.94,36,0,2.1,clear sky
221,Verkh-Usugli,RU,2021-12-20 01:46:25,52.7,115.1667,-7.8,62,9,6.53,clear sky
222,Hibbing,US,2021-12-20 01:46:25,47.4272,-92.9377,22.6,55,90,9.22,overcast clouds
223,Cidreira,BR,2021-12-20 01:46:26,-30.1811,-50.2056,70.65,80,0,24.0,clear sky
224,Torbay,CA,2021-12-20 01:46:26,47.6666,-52.7314,24.28,78,90,6.91,overcast clouds
225,Te Anau,NZ,2021-12-20 01:46:26,-45.4167,167.7167,59.38,96,100,7.02,moderate rain
226,Port Lincoln,AU,2021-12-20 01:46:27,-34.7333,135.8667,69.51,51,21,9.13,few clouds
227,Cap Malheureux,MU,2021-12-20 01:46:27,-19.9842,57.6142,76.46,82,78,6.06,broken clouds
228,Kardymovo,RU,2021-12-20 01:46:27,54.8902,32.4311,18.27,90,100,10.76,overcast clouds
229,Maraa,BR,2021-12-20 01:46:28,-1.8333,-65.3667,74.61,98,100,2.42,moderate rain
230,Gracac,HR,2021-12-20 01:46:28,44.3006,15.8547,37.38,72,0,4.74,clear sky
231,Pisco,PE,2021-12-20 01:46:28,-13.7,-76.2167,67.01,88,0,8.05,clear sky
232,Comodoro Rivadavia,AR,2021-12-20 01:43:46,-45.8667,-67.5,55.26,62,0,13.8,clear sky
233,Svetlogorsk,BY,2021-12-20 01:46:29,52.6333,29.7333,30.88,84,99,11.5,overcast clouds
234,Obo,CF,2021-12-20 01:46:29,5.3998,26.4869,71.29,44,100,4.47,overcast clouds
235,Bundibugyo,UG,2021-12-20 01:46:30,0.7414,30.0417,66.96,86,96,1.72,light rain
236,Taoudenni,ML,2021-12-20 01:46:30,22.6783,-3.9836,74.08,20,100,9.64,overcast clouds
237,Kushtagi,IN,2021-12-20 01:46:31,15.7667,76.2,60.31,75,3,6.8,clear sky
238,Port Hardy,CA,2021-12-20 01:46:31,50.6996,-127.4199,37.4,87,40,5.75,scattered clouds
239,Yulara,AU,2021-12-20 01:46:31,-25.2406,130.9889,87.64,20,0,14.97,clear sky
240,Mar Del Plata,AR,2021-12-20 01:46:32,-38.0023,-57.5575,71.1,94,20,3.0,few clouds
241,Maceio,BR,2021-12-20 01:46:32,-9.6658,-35.7353,80.04,83,75,6.91,broken clouds
242,Peniche,PT,2021-12-20 01:46:32,39.3558,-9.3811,59.88,82,89,19.84,overcast clouds
243,Chato,TZ,2021-12-20 01:46:33,-2.6378,31.7669,65.73,93,100,0.04,moderate rain
244,Katsuura,JP,2021-12-20 01:46:33,35.1333,140.3,46.51,48,0,5.23,clear sky
245,Seymchan,RU,2021-12-20 01:46:33,62.8833,152.4333,-48.35,99,61,0.54,broken clouds
246,Hofn,IS,2021-12-20 01:46:34,64.2539,-15.2082,40.26,72,100,4.34,overcast clouds
247,Ugoofaaru,MV,2021-12-20 01:46:34,5.6667,73.0,82.2,74,51,15.21,broken clouds
248,San Juan De La Maguana,DO,2021-12-20 01:46:35,18.8059,-71.2299,66.33,66,7,1.23,clear sky
249,Faya,SA,2021-12-20 01:46:35,18.3851,42.4509,53.71,90,34,3.24,scattered clouds
250,Suhum,GH,2021-12-20 01:46:35,6.0409,-0.45,79.16,70,56,1.19,broken clouds
251,Lida,BY,2021-12-20 01:46:36,53.8833,25.2997,32.09,89,93,13.98,overcast clouds
252,Katete,UG,2021-12-20 01:46:37,-0.7818,29.7544,61.32,91,100,2.93,light rain
